index	word	idf	weight
0	00	3.61366	-4.97853261
1	000	6.64606	-0.51488773
2	0000	8.23408	-0.25908954
3	00002	9.24402	0.20580182
4	0000年	8.30260	0.72632652
5	0001	9.51369	-0.33122221
6	00027	9.28106	-0.02715968
7	000772	9.53778	0.15333826
8	000779	9.44469	0.13714902
9	000852	9.58780	0.09822507
10	000万	8.64619	0.07943428
11	000个	9.31953	0.41056916
12	000元	9.01725	0.33785664
13	001	6.75307	0.63820445
14	00135	9.30011	-0.02482334
15	00152	9.28106	-0.02552598
16	001600	9.44469	0.27604870
17	002	7.36248	0.81934895
18	00261	9.30011	-0.02482334
19	00271	9.95552	-0.75671576
20	003	7.42536	0.68133456
21	00317	9.31953	-0.02436128
22	003344	9.44469	0.26873844
23	00337	9.30011	-0.02482334
24	003456	9.66784	0.09289099
25	00368	9.58780	0.09740482
26	003737	9.66784	0.09004559
27	00386	9.30011	-0.02482334
28	004	7.47370	-1.04418877
29	005	7.50835	1.96267349
30	00553	9.51369	0.09835303
31	00598	9.30011	-0.02482334
32	006	7.51156	-3.47433114
33	00696	9.30011	-0.02482334
34	007	7.37362	-0.58979525
35	00727	9.30011	-0.02482334
36	00728	9.30011	-0.02482334
37	0075	9.53778	0.16574767
38	008	7.47061	-1.03684963
39	00828	9.61377	0.19768581
40	00852	9.38016	0.30378234
41	00852119	9.66784	0.09857658
42	00852555	9.61377	0.09832787
43	009	7.58493	0.89798291
44	00900	9.51369	0.13097288
45	00968	9.30011	-0.02482334
46	00981	9.28106	-0.02707221
47	00gb	9.14048	0.94354533
48	00后	8.65624	2.25300847
49	00日	8.20793	0.72132025
50	00月	8.21440	0.72507333
51	01	4.35340	2.13383906
52	010	6.78677	1.42264412
53	010415_004	10.16031	0.69568848
54	0106	9.85016	0.58242828
55	01071	9.30011	-0.02482334
56	01072	9.30011	-0.02482334
57	011	7.68301	1.61562898
58	01109	9.26237	-0.03716326
59	011233	9.66784	0.09004559
60	01186	9.26237	-0.02718912
61	012	7.53433	-2.74628980
62	013	7.74197	-0.62072727
63	01359	9.28106	-0.02744286
64	014	7.58148	0.58103712
65	01416	9.51369	0.11988352
66	0149	9.42272	0.69213334
67	015	7.73390	0.55055225
68	01588	9.28106	-0.02539352
69	016	7.62734	-1.48568050
70	01666	9.46717	0.28560929
71	017	7.79604	-1.17688587
72	01766	9.22600	-0.10903929
73	01788	9.30011	-0.02482334
74	018	7.74197	1.08662249
75	0181	9.04666	0.02846936
76	01816	9.30011	-0.05512240
77	0183	9.22600	1.26611827
78	01833	9.30011	-0.02482334
79	018888	9.53778	0.10715896
80	019	7.83971	1.09391613
81	019111	9.61377	0.12799861
82	01997	9.61377	0.09267407
83	01g	8.51516	0.30447497
84	01gb	8.48918	1.92593391
85	01kb	8.26092	0.27313854
86	01日	8.79701	1.25141037
87	01月	8.22748	0.33236040
88	02	4.59214	-0.34109655
89	020	7.34872	0.37130420
90	0202	10.20683	2.27995196
91	0204	9.81737	0.89802398
92	021	7.31911	0.75652902
93	022	7.49561	-0.11168724
94	022221	9.66784	0.09289099
95	022229	9.51369	0.15000404
96	023	7.50835	0.91741496
97	02380	9.30011	-0.02482334
98	024	7.54425	-0.30203437
99	025	7.62014	-0.57372255
100	02555	9.61377	0.09267407
101	02567	9.66784	0.09289099
102	026	7.64555	-0.04260514
103	027	7.45530	0.06188524
104	028	7.47370	-0.21445568
105	02866	9.26237	-0.07628035
106	02888	9.58780	0.13818528
107	029	7.53104	-0.65819740
108	029822	9.88406	0.18736396
109	02g	8.60697	1.81270695
110	02gb	8.22092	-0.37347638
111	02kb	8.39154	0.08441121
112	02年	9.24402	-0.79762357
113	02日	8.74050	0.89731001
114	02月	8.51516	1.82598955
115	03	4.59353	1.97012234
116	030	7.64555	-0.13044060
117	031	7.81328	0.40381932
118	032	7.70228	2.09017463
119	032715_002	9.85016	0.07364053
120	033	7.59187	-0.49959344
121	03333	9.28106	-0.03503511
122	034	7.71797	0.44468484
123	035	7.57803	0.97071302
124	036	7.66037	-0.84774938
125	03655	9.66784	0.09289099
126	037	7.48931	-1.12599271
127	0371	9.01725	0.58904727
128	0377	9.75485	-0.13254871
129	03789	9.66784	0.09004559
130	038	7.50835	-0.57006582
131	03800	9.31953	-0.02436128
132	03888	8.70806	0.12553976
133	039	7.44321	-0.30134159
134	03988	9.24402	-0.05559457
135	03g	8.63624	1.12848102
136	03gb	8.61663	-0.08961280
137	03年	9.04666	-0.74468546
138	03日	9.09247	0.05203843
139	03月	8.22092	0.30077495
140	04	4.57579	-2.51372040
141	040	7.49245	0.10821107
142	040415_056	9.91915	0.08265080
143	040715	8.86933	0.73300480
144	0409	9.40121	0.31546571
145	041	7.49245	0.94940442
146	041115_060	9.91915	0.37593300
147	042	7.55426	1.04064136
148	0422	9.31953	0.36665836
149	043	7.55091	0.16057081
150	044	7.51156	-0.67482857
151	0449	9.33933	0.22151392
152	045	7.47992	-0.21161401
153	046	7.38773	-1.84964433
154	047	7.37082	-0.88313122
155	048	7.35971	-1.68824922
156	0480	9.44469	0.15133576
157	04884	9.66784	0.09289099
158	049	7.36248	-0.08237120
159	04g	8.56001	-2.66148513
160	04gb	8.71876	0.84028973
161	04kb	8.45557	0.41474266
162	04年	8.58792	-0.29049575
163	04日	9.42272	1.37795484
164	04月	7.80462	-0.09721538
165	05	4.41179	0.09018083
166	050	7.26490	0.40743888
167	051	7.28009	-0.59400812
168	0512	10.03248	-0.65692650
169	051515	9.24402	0.07990620
